# List here some URLs of random images in the Form <URL>;<Class>
# e.g. https://www.tierpark-sababurg.de/fileadmin/_processed_/7/d/csm__MG_9788_852e2bbcb9.jpg;Bird
#
https://www.tierpark-sababurg.de/fileadmin/_processed_/7/d/csm__MG_9788_852e2bbcb9.jpg;Bird
https://www.genussvoll-dampfen.de/images/product_images/original_images/popcorn.png;Popcorn
https://updated.de/media/cache/detailspage/cms/2018/02/maus-kaputt-tastatur-steuern.jpg;Keyboard
https://images.pickawood.com/data/nettece/aaa-images/customer-images/regal-buecherregal-bibliothek-kiefer-13301-980x720.jpg;Bookshelf
https://www.adac.de/-/media/images/rechtsberatung/tankstelle-ausruestung-und-wartung-rechtsberatung-926x383.jpg;PetrolStation
https://www.ingenieur.de/wp-content/uploads/2017/11/2016/17082_E-Traktor-von-John-Deere.jpg;Tractor
https://img1.womenshealth.de/Obst-und-Gemuese-der-Saison-fotoshowBig-fe5a738-18936.jpg;Apple
https://www.decowoerner.com/images/contentUploads/pictures/400_499/493/www/101000/493_239_04-1-0-00.jpg;PaintBucket
https://s-ec.bstatic.com/images/hotel/max1024x768/147/147997361.jpg;Hotel
https://www.tz.de/bilder/2018/06/27/9987873/1957164026-fussball-wm-2018-suedkorea-gegen-deutschland-bilder-und-noten-RhHG.jpg;SoccerGame
https://www.bayregio-m.de/bilder/oben-schwimmbad.jpg;OpenAirSwimmingPool
https://upload.wikimedia.org/wikipedia/commons/f/f9/Dampflokomotive_897513.jpg;SteamLocomotive
https://www.heise.de/ct/imgs/04/2/1/9/2/3/1/6/Windows_10_Pro-2017-05-16-16-28-44-7d4e067be07c8b6b.png;Windows
https://p5.focus.de/img/fotos/crop5477266/1556442859-cfreecrop_21_9-w1280-h720-otx0_y89-q75-p5/colourbox15286131.jpg;Cola
https://www.thoughtco.com/thmb/a6keu_lfmRjyDH-72nIz9MW5EdA=/2121x1414/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-872346454-5c37b2dec9e77c000132a628.jpg;Giraffe
https://bilder.bild.de/fotos-skaliert/mercedes-cabrio-200727469-55103508/2,w=993,q=high,c=0.bild.jpg;Car
https://www.deutschlandfunk.de/media/thumbs/c/cafa1d1daf15db26c2d6a6c76bc2242av1_max_755x425_b3535db83dc50e27c1bb1392364c95a2.jpg;Phone
https://www.feuerwehr-lauf.de/images/Berichte/2017/12012017_Abschlussbericht2016/2017_Startbild.jpg;Firefighters
https://www.gesundheitstrends.com/wp-content/uploads/2018/04/wald.jpg;Forest
https://www.trekkingfieber.de/wp-content/uploads/2017/02/Daypack-trekking-wandern-kleiner-rucksack.jpg;Hike
https://www.gartenjournal.net/wp-content/uploads/bachlauf-teich.jpg;Pond
https://image.brigitte.de/10825142/uncropped-0-0/e2368ac9c6725eda700a2be66b556afd/bO/bauernbrot-backen.jpg;Bread
